Affischtavla	Billboard
Anderna	Andes
Ansök	Apply
Armborst	Crossbow
B-inkomst	B-income
BNP	GNP
Blekinge	Blekinge
Bohuslän	Bohuslän
CAD	CAD
COMPLEMENTARY	KOMPLETTERANDE
CP	CP
CSN	CSN
Co	Co.
Dalarna	Dalecarlia
Dalsland	Dalsland
EEG	EEG
EKG	ECG
FN	UN
Felmedicinering	mismedication
Finjusterande	fineadjusting
Fjärilslarv	Caterpillar
Gastroskopi	gastroscopy
Glidlager	Bearing
Godmorgon	goodmorning
Gotland	Gotland
Grekland	Greece
Grillfest	BBQ
Gud	God
Gästrikland	Gästrikland
Götaland	Götaland
Halland	Halland
Hornhinna	cornea
Humorbefriad	Humourless
Hycklare	Hypocrite
Hälsingland	Hälsingland
Härjedalen	Härjedalen
IQ	IQ
Internet	Internet
Italien	Italy
Jämtland	Jämtland
Kgl	royal
Konsum	Co-op
Kroatien	Croatia
Kursiverad	Italicized
Kustlinje	shoreline
LANDET	country-side
LP	long-playing
Lappland	Lapland
Lettland	Latvia
Linfrö	flaxseed
Lucia	Lucia
MS	MS
Mallorca	Majorca
Medelpad	Medelpad
Muntligen	orally
NATO	NATO
Natrium	Sodium
Norden	Scandinavia
Norge	Norway
Norrbotten	Norrbotten
Norrland	Norrland
Närke	Närke
OECD	OECD
OK	OK
PBU	PBU
PC	PC
PRO	PRO
PS	ps
Persien	Persia
Pressbyrån	Pressbyrån
Pågår	pending
Rengörande	Cleansing
Roligast	Funniest
Rollspel	Roleplay
Ryssland	Russia
S:t	Saint
Sankt	Saint
Sannolikhet	Probability
Schweiz	Switzerland
Skandinavien	Scandinavia
Sleva	Ladle
Småland	Småland
Spanien	Spain
Spelning	Gig
Stenbock	Capricornus
Stigmatisera	Stigmatize
Svealand	Svealand
Sverige	Sweden
Sysslolöshet	Idleness
Södermanland	Södermanland
T-shirt	T-shirt
Tidsrapport	Timesheet
Tjena!	Hey
Tribologi	Tribology
Tupera	Backcomb
Tyskland	Germany
U-sväng	U-turn
Undanhållet	Withheld
Unesco	UNESCO
Uppland	Uppland
VD	MD
VIP	VIP
Vaktel	Quail
Valborg	Walpurgis
Värmland	Värmland
Västerbotten	Västerbotten
Västergötland	Västergötland
Västmanland	Västmanland
abbedissa	abbess
abborre	perch
abbé	abbé
abc	abc
abc-bok	spelling-book
abdikera	abdicate
aber	catch
ablativ	ablative
abnorm	abnormal
abonnemang	subscription
abonnent	subscriber
abonnenterna	subscribers
abonnera	subscribe
aborigin	Aboriginal
aboriginerna	aborigines
abort	abortion
abrakadabra	mumbo-jumbo
abrupt	abrupt
absolut	certainly
absolutism	absolutism
absorbera	occupy
abstinens	abstinence
abstrahera	abstract
abstrakt	abstract
abstraktion	abstraction
absurd	absurd
accelerera	accelerate
accent	accent
accentuera	accentuate
acceptabel	acceptable
acceptans	acceptance
acceptera	accept
accis	excise
aceton	acetone
acetylen	acetylene
ack	oh!
acklamation	acclamation
acklimatisera	acclimatize
ackommodera	accomodate
ackompanjera	accompany
ackord	composition
ackordsjobb	provisions
ackreditera	accredit
ackrediterade	accredited
ackumulator	accumulator
ackumulera	accumulate
ackurat	Precise
ackuratess	accuracy
acne	acne
action	action
addera	add
addition	addition
adekvat	adequate
adel	nobility
adelsfröken	upperlady
adept	novice
aderton	eighteen
adjektiv	adjective
adjö	goodbye!
administration	administration
administrativ	administrative
administratör	administrator
administrera	administer
adoptera	adopt
adoption	adoption
adoptivföräldraskap	adoptive-parenthood
adrenalin	adrenaline
adrenalinflödet	adrenalinflow
adress	address
adressat	addressee
adressera	address
adriatiska	adriatic
advent	Advent
adverb	adverb
advokat	solicitor
aero-	aero-
aerodynamisk	aerodynamic
afasi	aphasia
affekt	passion
affekterad	affected
affektion	affection
affischtavlor	posters
affischör	poster
affär	affair
affärsinnehavare	shop-keepers
affärsman	businessman
affärsrörelse	business
afghanska	afghani
aforism	aphorism
afrika	africa
afrikan	African
afrikanisera	Africanize
afrikansk	African
afrodisiakum	afrodisiac
afton	evening
aftonbön	eveningprayers
aftonmåltid	supper
aftonpsalm	Vespers
aga	chastise
agent	agent
agera	act
agerande	action
agg	grudge
agglomerera	agglomerate
aggregat	unit
aggression	aggression
aggressiv	aggressive
agn	bait
agnar	husks
agnosticism	Agnosticism
agnostiker	agnostic
agnostisk	agnostic
agrikultur	agriculture
agrikulturell	agricultural
agronom	agronomist
agronomi	Agronomy
aids	AIDS
aikido	aikido
ajournera	adjourn
ajö	bye-bye!
akademi	academy
akademiker	academic
akademisk	academic
akne	acne
akrobat	acrobat
akrobatik	acrobatics
akropol	Akropol
akryl	acrylic
akt	attention
akta	guard
akter	stern
aktion	drive
aktionsgrupp	task-force
aktiv	active
aktivera	activate
aktivism	activism
aktivismen	activism
aktivist	activist
aktivister	activists
aktivitet	activity
aktivitetsträning	prequel
aktivt	active
aktning	respect
aktris	actress
aktsam	cautious
aktsamt	careful
aktualisera	update
aktuarie	actuary
aktuell	topical
aktör	player
aktörer	actors
akupunktur	acupuncture
akupunkturnål	acupuntureneedle
akustik	acoustics
akustisk	acoustic
akut	immediate
akvarium	aquarium
akvedukt	aqueduct
al	alder
alabaster	alabaster
aladåb	aspic
alarm	allert
alarmerande	alarming
alarmering	alarming
alban	Albanian
albansk	Albanian
albinism	albinism
albino	albino
album	album
aldrig	never
alert	alert
alfa	Alpha
alfabet	alphabet
alfabetisera	alphabetise
alfabetisk	alphabetical
alg	alga
alger	algea
algerier	Algerian
algerisk	Algerian
algoritm	algorithm
alias	alias
alibi	alibi
alienation	alienation
alienerad	alienated
alika	jackdaw
alimentär	heatsink
alkemi	alchemy
alkemister	alchemist
alkemistisk	alchemical
alkohol	alcohol
alkoholhaltig	alcoholic
alkoholiserad	alcoholized
alkoholism	alcoholism
alkoholist	alcoholic
alkoholrelaterade	alcohol-related
alkoläsk	alcopops
alkov	alcove
all	all
alldaglig	ordinary
alldeles	perfectly
allegori	allegory
allegorisk	allegorical
allena	alone
allergen	allergens
allergi	allergy
allergiframkallande	allergenic
allergiker	allergy-sufferers
allergisjuk	allergic
allergisk	allergic
allestädes	everywhere
allhärskande	almighty
allians	alliance
allianser	alliances
alliansfri	non-aligned
alliansfrihet	non-alignment
allierad	allied
allihop	everybody
allihop(a)	all
allmoge	countryfolk
allmosa	alms
allmän	public
allmänt	generally
allomfattande	inclusive
allopatin	allopathic
allround	all-round
allsidig	comprehensive
allsmäktighet	almighty
allt	certainly
allteftersom	as
alltiallo	factotum
alltid	always
alltifrån	from
allting	everything
alltjämt	constantly
alltmedan	during
alltmera	increasingly
alltsamman(s)	all
allvar	seriousness
allvarlig	serious
allvarligt	serious
allé	avenue
alm	elm
almanacka	almanac
alpinist	mountaineer
alster	product
alstra	produce
alt	contralto
altan	balcony
altare	altar
alternativ	alternative
alternativt	alternatively
alternera	alternate
alternerandet	alternating
altruist	altruist
altstämma	alto
aluminium	aluminium
amalgam	amalgam
amatör	amateur
amatörboxare	amateurboxer
ambassad	embassy
ambassadsekreterare	embassysecretary
ambassadör	ambassador
ambition	ambition
ambitiös	ambitious
ambitiöst	ambitious
ambivalent	ambivalent
ambulans	ambulance
ambulansman	paramedic
ambulanspersonal	paramedic
ambulera	ambulate
amen	amen
amerika	america
amerikan	American
amerikanare	American
amerikanisera	americanise
amerikanisering	americanization
amerikanism	Americanism
amerikansk	American
amerikanskägt	american-owned
amfetamin	amphetamine
amfiteater	amphitheatre
amiral	admiral
amma	suckle
ammande	breast-feeding
ammunition	ammunition
amnesti	amnesty
amning	nursing
amok	amuck
amoralisk	amoral
amortera	amortize
amper	bitter
ampere	ampere
ampull	ampoule
amputationer	amputations
amputera	amputate
amputerats	amputated
amputering	amputation
amulett	amulet
anabol	anabolic
anakronism	anachronism
analfabet	illiterate
analfabetisk	Analfabetic
analoga	analog
analogi	analogy
analogt	analog
analys	analysis
analysering	study
analytiker	Analyst
analytisk	analytical
anamma	accept
anamnes	anamnesis
ananas	pineapple
anarki	anarchy
anarkism	anarchism
anarkist	anarchist
anarkistisk	anarchistic
anatomi	anatomy
anbefalla	order
anblick	appearance
anbringa	fit
anbud	tender
anbudsgivare	bidder
anda	spirit
andakt	worship
andalusien	andalucia
andan	breath
andas	respire
ande	spirit
andedräkt	breath
andel	proportion
andelar	units
andemening	spirit
andetag	breath
andeutdrivare	exorcist
andeutdrivning	exorcism
andeväsen	spirits
andfåddhet	breathlessness
andhämtning	breathing
andlig	spiritual
andning	respiration
andra	present
andrahandsvaror	second-hand
andras	others
andrepilot	copilot
androgyn	androgynous
anekdot	anecdote
anekdotartad	fabling
anestesi	anaesthesia
anfader	forefather
anfall	attack
anfalla	assault
anfallare	striker
anfordran	request
anfrätt	eroded
anfrätte	corroded
anfäkta	worry
anföll	attacked
anföra	command
anförande	address
anföring	quotation
anförtro	entrust
anförtroende	trust
anförvant	relative
ang	ref.
angav	mentioned
ange	report
angelägen	urgent
angelägenhet	matter
angenäm	pleasant
angenämt	pleasant
angick	concerned
angiven	indicated
anglomani	anglomania
anglosaxare	Anglosaxian
angrep	attacked
angrepp	attack
angreppssätt	Evocation
angripa	attack
angriparen	attacker
angränsande	adjacent
angå	concern
angöra	touch
